Time,Flight Number,Source,Flight Name,Aircraft,Status
2:25 PM,6E324,Raipur (RPR),IndiGo,A21N (VT-IUD),Departed 3:01 PM
2:25 PM,6E342,Lucknow (LKO),IndiGo,A320 (VT-IDS),Departed 2:39 PM
2:30 PM,UK655,Jodhpur (JDH),Vistara,B738 (VT-TGI),Departed 2:51 PM
2:35 PM,G8382,Bengaluru (BLR),GoAir,A20N (VT-WGD),Departed 2:41 PM
2:40 PM,G85,Abu Dhabi (AUH),GoAir,A20N (VT-WGE),Departed 3:06 PM
2:40 PM,UK944,Delhi (DEL),Vistara,A320 (VT-TTB),Departed 3:05 PM
2:40 PM,6E933,Delhi (DEL),IndiGo,A320 (VT-IAL),Departed 2:59 PM
2:45 PM,6E768,Chennai (MAA),IndiGo,A20N (VT-IVL),Departed 3:10 PM
2:45 PM,SG6354,Andal (RDP),SpiceJet,B737 (VT-SYO),Departed 3:14 PM
2:45 PM,SG6365,Kolkata (CCU),SpiceJet,B738 (VT-SGG),Departed 3:19 PM
2:50 PM,SG2872,Belgaum (IXG),SpiceJet,DH8D (VT-SQJ),Departed 3:35 PM
2:50 PM,6.00E+83,Dubai (DXB),IndiGo,A320 (VT-IEL),Departed 3:04 PM
3:00 PM,I5481,Delhi (DEL),AirAsia,A320 (VT-SIN),Departed 3:28 PM
3:05 PM,AI508,Hubli (HBX),Air India,A319 (VT-SCM),Departed 4:02 PM
3:10 PM,G82605,Goa (GOI),GoAir,A20N (VT-WGR),Departed 3:20 PM
3:10 PM,SG6437,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SYG),Departed 3:18 PM
3:15 PM,G8397,Lucknow (LKO),GoAir,A20N (VT-WGU),Departed 3:16 PM
3:15 PM,6E419,Goa (GOI),IndiGo,A20N (VT-ITO),Departed 3:30 PM
3:25 PM,AI442,Aurangabad (IXU),Air India,A319 (VT-SCP),Departed 3:46 PM
3:25 PM,6.00E+264,Bhopal (BHO),IndiGo,A320 (VT-IHJ),Departed 3:33 PM
3:30 PM,AI340,Bangkok (BKK),Air India,A20N (VT-EXH),Departed 4:00 PM
3:30 PM,EK507,Dubai (DXB),Emirates,B77W (A6-ECT),Departed 3:50 PM
3:30 PM,6E917,Vadodara (BDQ),IndiGo,A320 (VT-IFS),Departed 3:40 PM
3:35 PM,SG455,Goa (GOI),SpiceJet,B738 (VT-SYA),Departed 3:52 PM
3:35 PM,SG8163,Jaipur (JAI),SpiceJet,B738 (VT-SZM),Departed 3:54 PM
3:35 PM,6E6097,Delhi (DEL),IndiGo,A320 (VT-IHC),Departed 3:47 PM
3:45 PM,6E6175,Mangalore (IXE),IndiGo,A320 (VT-IDP),Departed 4:07 PM
3:45 PM,UK902,Delhi (DEL),Vistara,A320 (VT-TTN),Departed 4:10 PM
3:50 PM,SG6472,Udaipur (UDR),SpiceJet,B737 (VT-SYP),Departed 4:05 PM
3:55 PM,6E5375,Hyderabad (HYD),IndiGo,A20N (VT-IVI),Departed 4:13 PM
3:55 PM,6E6177,Bengaluru (BLR),IndiGo,A320 (VT-IKA),Departed 4:20 PM
3:55 PM,9I653,Shirdi (SAG),Alliance Air,AT76 (VT-RKL),Departed 3:57 PM
4:00 PM,AI687,Delhi (DEL),Air India,32B,Canceled
4:00 PM,UK853,Bengaluru (BLR),Vistara,B738 (VT-TGG),Departed 4:16 PM
4:00 PM,6E403,Nagpur (NAG),IndiGo,A320 (VT-IFG),Departed 4:36 PM
4:05 PM,UK651,Chandigarh (IXC),Vistara,A20N (VT-TNU),Departed 4:26 PM
4:10 PM,G8483,Ranchi (IXR),GoAir,A320 (VT-GOL),Departed 4:43 PM
4:10 PM,SG6282,Cochin (COK),SpiceJet,B738 (VT-SGZ),Departed 4:18 PM
4:10 PM,6E5313,Kolkata (CCU),IndiGo,A20N (VT-IZQ),Departed 4:28 PM
4:15 PM,WY204,Muscat (MCT),Oman Air,B788 (A4O-SB),Departed 4:23 PM
4:15 PM,6E793,Goa (GOI),IndiGo,A320 (VT-INY),Departed 4:31 PM
4:20 PM,6E5305,Indore (IDR),IndiGo,A20N (VT-IVK),Departed 4:33 PM
4:25 PM,AI661,Goa (GOI),Air India,A319 (VT-SCF),Departed 5:03 PM
4:25 PM,UK201,Dubai (DXB),Vistara,A20N (VT-TNV),Departed 4:38 PM
4:30 PM,6.00E+215,Ahmedabad (AMD),IndiGo,A320 (VT-IFD),Departed 4:56 PM
4:35 PM,6.00E+174,Delhi (DEL),IndiGo,A20N (VT-ITM),Departed 4:41 PM
4:45 PM,KQ211,Nairobi (NBO),Kenya Airways,B738 (5Y-CYC),Departed 4:57 PM
4:50 PM,AI931,Jeddah (JED),Air India,B77W (VT-ALP),Departed 5:00 PM
4:50 PM,6E712,Varanasi (VNS),IndiGo,A320 (VT-IGT),Departed 4:49 PM
4:50 PM,6E813,Guwahati (GAU),IndiGo,A20N (VT-IZR),Departed 4:51 PM
4:55 PM,6E504,Jaipur (JAI),IndiGo,A20N (VT-IZT),Departed 5:08 PM
4:55 PM,6E834,Hyderabad (HYD),IndiGo,A320 (VT-IGU),Departed 5:06 PM
5:00 PM,AI144,Delhi (DEL),Air India,B77W (VT-ALM),Departed 5:32 PM
5:00 PM,G8244,Bhubaneswar (BBI),GoAir,A20N (VT-WJQ),Departed 5:12 PM
5:00 PM,UK910,Delhi (DEL),Vistara,A320 (VT-TTM),Departed 5:25 PM
5:05 PM,AI681,Cochin (COK),Air India,A20N (VT-EXN),Departed 6:14 PM
5:05 PM,G82506,Chandigarh (IXC),GoAir,A20N (VT-WJK),Departed 5:22 PM
5:05 PM,SG6426,Kolkata (CCU),SpiceJet,B738 (VT-SXC),Departed 5:14 PM
5:10 PM,6E598,Bhubaneswar (BBI),IndiGo,A20N (VT-IVC),Departed 5:16 PM
5:10 PM,6E6533,Bengaluru (BLR),IndiGo,A20N (VT-IZK),Departed 5:47 PM
5:15 PM,EY207,Abu Dhabi (AUH),Etihad,A321 (A6-AEA),Departed 5:43 PM
5:15 PM,SG6704,Delhi (DEL),SpiceJet,B738 (VT-SYB),Departed 5:27 PM
5:15 PM,SG6932,Dehradun (DED),SpiceJet,B738 (VT-SLH),Departed 5:38 PM
5:20 PM,AI91,Ahmedabad (AMD),Air India,A321 (VT-PPQ),Departed 5:53 PM
5:20 PM,AI667,Thiruvananthapuram (TRV),Air India,A20N (VT-EXM),Departed 5:51 PM
5:25 PM,RA202,Kathmandu (KTM),Nepal Airlines,A320 (9N-AKX),Departed 6:25 PM
5:25 PM,G8336,Cochin (COK),GoAir,A20N (VT-WJP),Departed 5:34 PM
5:25 PM,6E764,Udaipur (UDR),IndiGo,A20N (VT-ITQ),Departed 5:40 PM
5:30 PM,UK773,Kolkata (CCU),Vistara,B738 (VT-TGB),Departed 5:45 PM
5:30 PM,UK849,Bengaluru (BLR),Vistara,B738 (VT-TGH),Departed 5:50 PM
5:35 PM,SG2684,Surat (STV),SpiceJet,DH8D (VT-SUD),Departed 5:35 PM
5:45 PM,6E956,Delhi (DEL),IndiGo,A20N (VT-ITG),Departed 6:01 PM
5:55 PM,UK823,Chennai (MAA),Vistara,B738 (VT-TGA),Departed 5:59 PM
5:55 PM,6E395,Kolkata (CCU),IndiGo,A20N (VT-ITZ),Departed 6:12 PM
6:00 PM,AI660,Delhi (DEL),Air India,A320 (VT-EDF),Departed 7:26 PM
