TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
5:25 PM,G8336,Cochin (COK),GoAir,A20N (VT-WJD),Departed 6:13 PM
5:25 PM,6E764,Udaipur (UDR),IndiGo,A320 (VT-IDN),Departed 6:04 PM
5:30 PM,UK773,Kolkata (CCU),Vistara,B738 (VT-TGD),Departed 6:11 PM
5:30 PM,UK849,Bengaluru (BLR),Vistara,B738 (VT-TGA),Departed 5:59 PM
5:35 PM,SG2684,Surat (STV),SpiceJet,DH8D (VT-SUJ),Departed 5:35 PM
5:40 PM,IX243,Doha (DOH),Air India Express (Sitar/Tabla Livery),B738 (VT-GHC),Departed 8:41 PM
5:45 PM,6E956,Delhi (DEL),IndiGo,A20N (VT-IVG),Departed 6:32 PM
5:55 PM,QR8601,Doha (DOH),Qatar Cargo,B77L (A7-BFI),Departed 2:56 AM
5:55 PM,UK823,Chennai (MAA),Vistara,B738 (VT-TGE),Departed 8:48 PM
5:55 PM,6E395,Kolkata (CCU),IndiGo,A20N (VT-IZD),Departed 6:27 PM
6:00 PM,6E361,Ahmedabad (AMD),IndiGo,A320 (VT-IET),Departed 6:30 PM
6:00 PM,6E463,Bengaluru (BLR),IndiGo,A20N (VT-IJM),Departed 7:16 PM
6:10 PM,G8303,Chennai (MAA),GoAir,A20N (VT-WGX),Departed 6:37 PM
6:20 PM,6.00E+61,Dubai (DXB),IndiGo,A20N (VT-IVE),Departed 6:42 PM
6:20 PM,6E5342,Hyderabad (HYD),IndiGo,A20N (VT-ITA),Departed 7:34 PM
6:25 PM,SG251,Chennai (MAA),SpiceJet,B738 (VT-SYJ),Departed 7:39 PM
6:30 PM,G8339,Delhi (DEL),GoAir,A20N (VT-WJP),Departed 6:52 PM
6:30 PM,I5335,Bengaluru (BLR),AirAsia,A320 (VT-JPR),Departed 7:01 PM
6:30 PM,SG415,Bengaluru (BLR),SpiceJet,B738 (VT-SZN),Departed 6:57 PM
6:30 PM,UK996,Delhi (DEL),Vistara,A320 (VT-TTH),Departed 6:50 PM
6:35 PM,I5344,Hyderabad (HYD),AirAsia,A320 (VT-RED),Departed 6:47 PM
6:40 PM,AI660,Delhi (DEL),Air India,A20N (VT-EXF),Departed 7:54 PM
6:40 PM,G8142,Nagpur (NAG),GoAir,A20N (VT-WGJ),Departed 7:18 PM
6:40 PM,6E5391,Chennai (MAA),IndiGo,A320 (VT-INU),Departed 8:18 PM
6:45 PM,SG6236,Jaipur (JAI),SpiceJet,B738 (VT-SXC),Departed 8:32 PM
6:45 PM,SG8158,Delhi (DEL),SpiceJet,B738 (VT-SXB),Departed 8:03 PM
6:45 PM,6E439,Delhi (DEL),IndiGo,A320 (VT-IDO),Departed 7:22 PM
6:55 PM,6E755,Cochin (COK),IndiGo,A320 (VT-INX),Departed 8:23 PM
7:00 PM,AI94,Chennai (MAA),Air India,A20N (VT-EXM),Departed 8:43 PM
7:00 PM,AI629,Nagpur (NAG),Air India,A319 (VT-SCL),Departed 7:49 PM
7:00 PM,AI888,Delhi (DEL),Air India,319,Unknown
7:00 PM,SG6245,Coimbatore (CJB),SpiceJet,B737 (VT-SLP),Departed 7:36 PM
7:05 PM,UK865,Bengaluru (BLR),Vistara,B738 (VT-TGB),Departed 7:56 PM
7:05 PM,6E628,Hyderabad (HYD),IndiGo,A20N (VT-IVY),Departed 7:23 PM
7:10 PM,EK503,Dubai (DXB),Emirates,B77W (A6-ECR),Departed 7:51 PM
7:10 PM,G82607,Jaipur (JAI),GoAir,A320 (VT-GOO),Departed 8:39 PM
7:15 PM,6E799,Bengaluru (BLR),IndiGo,A20N (VT-IVU),Departed 7:25 PM
