Time,Flight Number,Destination,Flight Name,Aircraft,Status
4:35 PM,6.00E+174,Delhi (DEL),IndiGo,A20N (VT-IJC),Departed 5:18 PM
4:40 PM,AI607,Bengaluru (BLR),Air India,A20N (VT-EXG),Departed 5:23 PM
4:45 PM,KQ211,Nairobi (NBO),Kenya Airways,B738 (5Y-KYD),Departed 6:15 PM
4:50 PM,AI931,Jeddah (JED),Air India,B77W (VT-ALS),Departed 5:50 PM
4:50 PM,6E712,Varanasi (VNS),IndiGo,A320 (VT-IGH),Departed 5:29 PM
4:50 PM,6E813,Guwahati (GAU),IndiGo,A320 (VT-IHA),Departed 6:09 PM
4:55 PM,6E504,Jaipur (JAI),IndiGo,A20N (VT-IJF),Departed 6:13 PM
4:55 PM,6E834,Hyderabad (HYD),IndiGo,A20N (VT-IVI),Departed 6:07 PM
5:00 PM,AI144,Delhi (DEL),Air India,B77W (VT-ALL),Departed 6:02 PM
5:00 PM,G8244,Bhubaneswar (BBI),GoAir,A20N (VT-WJL),Departed 5:52 PM
5:00 PM,UK910,Delhi (DEL),Vistara,A320 (VT-TTM),Departed 6:00 PM
5:05 PM,AI681,Cochin (COK),Air India,A20N (VT-CIN),Departed 5:47 PM
5:05 PM,G82506,Chandigarh (IXC),GoAir,A20N (VT-WJO),Departed 6:16 PM
5:05 PM,SG6426,Kolkata (CCU),SpiceJet,B738 (VT-SYA),Departed 5:38 PM
5:10 PM,6E598,Bhubaneswar (BBI),IndiGo,A320 (VT-IFF),Departed 6:40 PM
5:10 PM,6E6533,Bengaluru (BLR),IndiGo,A20N (VT-IVQ),Departed 6:23 PM
5:15 PM,EY207,Abu Dhabi (AUH),Etihad,A320 (A6-EIR),Departed 5:34 PM
5:15 PM,SG6704,Delhi (DEL),SpiceJet,B738 (VT-SLF),Departed 5:41 PM
5:15 PM,SG6932,Dehradun (DED),SpiceJet,B738 (VT-SLJ),Departed 5:39 PM
5:20 PM,AI91,Ahmedabad (AMD),Air India,A321 (VT-PPA),Departed 5:55 PM
5:20 PM,AI667,Thiruvananthapuram (TRV),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 6:18 PM
5:25 PM,G8336,Cochin (COK),GoAir,A20N (VT-WGD),Departed 6:32 PM
5:25 PM,6E764,Udaipur (UDR),IndiGo,A20N (VT-ITA),Departed 6:12 PM
5:30 PM,UK773,Kolkata (CCU),Vistara,B738 (VT-TGD),Departed 5:44 PM
5:30 PM,UK849,Bengaluru (BLR),Vistara,A20N (VT-TNP),Departed 6:09 PM
5:35 PM,SG2684,Surat (STV),SpiceJet,DH8D (VT-SUS),Departed 5:35 PM
5:45 PM,6E956,Delhi (DEL),IndiGo,A20N (VT-IJT),Departed 6:42 PM
5:55 PM,UK823,Chennai (MAA),Vistara,B738 (VT-TGA),Departed 6:26 PM
5:55 PM,6E395,Kolkata (CCU),IndiGo,A20N (VT-IVG),Departed 6:54 PM
5:55 PM,9I651,Bhavnagar (BHU),Alliance Air,AT76 (VT-RKL),Departed 7:04 PM
6:00 PM,6E361,Ahmedabad (AMD),IndiGo,A20N (VT-ITY),Departed 6:44 PM
6:00 PM,6E463,Bengaluru (BLR),IndiGo,A320 (VT-IDY),Departed 6:52 PM
6:10 PM,G8303,Chennai (MAA),GoAir,A20N (VT-WGR),Departed 6:47 PM
6:20 PM,6.00E+61,Dubai (DXB),IndiGo,A320 (VT-IEQ),Departed 6:50 PM
6:20 PM,6E5342,Vadodara (BDQ),IndiGo,A320 (VT-INZ),Departed 7:30 PM
6:25 PM,SG251,Chennai (MAA),SpiceJet,B738 (VT-SXA),Departed 7:25 PM
6:30 PM,G8339,Delhi (DEL),GoAir,A20N (VT-WJP),Departed 7:33 PM
6:30 PM,I5335,Bengaluru (BLR),AirAsia,A320 (VT-NAG),Departed 6:57 PM
6:30 PM,SG415,Bengaluru (BLR),SpiceJet,B738 (VT-SZB),Departed 7:00 PM
6:30 PM,UK996,Delhi (DEL),Vistara,A20N (VT-TNQ),Departed 7:07 PM
6:35 PM,I5344,Hyderabad (HYD),AirAsia,A320 (VT-VTZ),Departed 7:02 PM
6:40 PM,G8142,Nagpur (NAG),GoAir,A20N (VT-WJI),Departed 7:45 PM
6:40 PM,6E5391,Chennai (MAA),IndiGo,A320 (VT-INU),Departed 7:10 PM
6:45 PM,SG6236,Jaipur (JAI),SpiceJet,B738 (VT-SGQ),Departed 9:17 PM
6:45 PM,SG8158,Delhi (DEL),SpiceJet,B738 (VT-SGG),Departed 7:15 PM
6:45 PM,6E439,Delhi (DEL),IndiGo,A20N (VT-IVA),Departed 7:52 PM
6:55 PM,6E755,Cochin (COK),IndiGo,A20N (VT-ITC),Departed 7:12 PM
7:00 PM,AI629,Nagpur (NAG),Air India,A319 (VT-SCS),Departed 8:21 PM
7:00 PM,AI660,Delhi (DEL),Air India,A320 (VT-EDC),Departed 7:59 PM
7:00 PM,AI888,Delhi (DEL),Air India,A319 (VT-SCL),Canceled
7:00 PM,SG6245,Coimbatore (CJB),SpiceJet,B737 (VT-SLP),Departed 8:57 PM
7:05 PM,UK865,Bengaluru (BLR),Vistara,B738 (VT-TGH),Departed 7:20 PM
7:05 PM,6E628,Hyderabad (HYD),IndiGo,A20N (VT-ITI),Departed 7:27 PM
7:10 PM,EK503,Dubai (DXB),Emirates,B77L (A6-EWA),Departed 7:42 PM
7:10 PM,G82607,Jaipur (JAI),GoAir,A20N (VT-WGG),Departed 7:50 PM
7:15 PM,6E799,Bengaluru (BLR),IndiGo,A20N (VT-IVT),Departed 9:04 PM
7:15 PM,6E5319,Coimbatore (CJB),IndiGo,A20N (VT-IZV),Departed 7:57 PM
7:20 PM,UK875,Hyderabad (HYD),Vistara,A20N (VT-TNF),Departed 7:37 PM
7:25 PM,AI619,Hyderabad (HYD),Air India,A319 (VT-SCV),Departed 8:05 PM
7:25 PM,AI631,Bhopal (BHO),Air India,A20N (VT-EXQ),Departed 8:01 PM
7:25 PM,G8364,Ahmedabad (AMD),GoAir,A320 (VT-GOM),Departed 7:47 PM
7:25 PM,6.00E+225,Indore (IDR),IndiGo,A21N (VT-IUJ),Departed 8:03 PM
7:25 PM,6E6446,Lucknow (LKO),IndiGo,A20N (VT-IZS),Departed 8:31 PM
7:30 PM,6E675,Chennai (MAA),IndiGo,A20N (VT-IVP),Departed 8:54 PM
7:30 PM,6E1825,Riyadh (RUH),IndiGo,A320 (VT-IES),Departed 7:35 PM
