Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Abu Dhabi (AUH),Mumbai,Air India,A,0,2020-02-02 05:50:00,2020-02-02 06:00:00,10.0
Mumbai,Chennai (MAA),GoAir,D,1,2020-02-02 05:50:00,2020-02-02 05:54:00,4.0
Mumbai,Surat (STV),Alliance Air,D,2,2020-02-02 05:50:00,,
Mumbai,Jammu (IXJ),SpiceJet,D,1,2020-02-02 05:55:00,2020-02-02 09:43:00,228.0
Mumbai,Guwahati (GAU),SpiceJet,D,1,2020-02-02 05:55:00,2020-02-02 06:13:00,18.0
Mumbai,Bengaluru (BLR),GoAir,D,1,2020-02-02 06:00:00,2020-02-02 06:02:00,2.0
Mumbai,Delhi (DEL),GoAir,D,1,2020-02-02 06:00:00,2020-02-02 06:15:00,15.0
Mumbai,Delhi (DEL),SpiceJet,D,1,2020-02-02 06:00:00,2020-02-02 06:20:00,20.0
Mumbai,Nagpur (NAG),GoAir,D,1,2020-02-02 06:05:00,2020-02-02 06:31:00,26.0
Mumbai,Chennai (MAA),Vistara,D,1,2020-02-02 06:05:00,2020-02-02 06:18:00,13.0
Mumbai,Bengaluru (BLR),IndiGo,D,1,2020-02-02 06:05:00,2020-02-02 06:29:00,24.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-02 06:05:00,2020-02-02 06:22:00,17.0
Mumbai,Hyderabad (HYD),Air India,D,1,2020-02-02 06:10:00,2020-02-02 07:35:00,85.0
Mumbai,Kolkata (CCU),Air India,D,1,2020-02-02 06:10:00,2020-02-02 06:37:00,27.0
Mumbai,Hyderabad (HYD),Vistara,D,1,2020-02-02 06:10:00,2020-02-02 06:36:00,26.0
Mumbai,Chennai (MAA),IndiGo,D,1,2020-02-02 06:10:00,2020-02-02 06:33:00,23.0
Delhi (DEL),Mumbai,Air India,A,2,2020-02-02 06:15:00,,
Kuwait City (KWI),Mumbai,Kuwait Airways,A,0,2020-02-02 06:15:00,2020-02-02 05:35:00,40.0
Mumbai,Bengaluru (BLR),Air India,D,1,2020-02-02 06:15:00,2020-02-02 07:25:00,70.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-02-02 06:15:00,2020-02-02 06:40:00,25.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-02 06:20:00,2020-02-02 06:04:00,16.0
Mumbai,Abu Dhabi (AUH),IndiGo,D,1,2020-02-02 06:20:00,2020-02-02 06:45:00,25.0
Dubai (DXB),Mumbai,SpiceJet,A,2,2020-02-02 06:25:00,,
Mumbai,Hyderabad (HYD),SpiceJet,D,1,2020-02-02 06:25:00,2020-02-02 06:43:00,18.0
Mumbai,Vadodara (BDQ),IndiGo,D,1,2020-02-02 06:25:00,2020-02-02 06:38:00,13.0
Ahmedabad (AMD),Mumbai,IndiGo,A,0,2020-02-02 06:30:00,2020-02-02 06:39:00,9.0
Mumbai,Bahrain (BAH),Gulf Air,D,1,2020-02-02 06:30:00,2020-02-02 06:50:00,20.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-02 06:30:00,2020-02-02 06:47:00,17.0
Mumbai,Indore (IDR),IndiGo,D,1,2020-02-02 06:30:00,2020-02-02 06:41:00,11.0
Mumbai,Nairobi (NBO),Kenya Airways,D,1,2020-02-02 06:35:00,2020-02-02 08:23:00,108.0
Mumbai,Dehradun (DED),SpiceJet,D,1,2020-02-02 06:35:00,2020-02-02 06:53:00,18.0
Ahmedabad (AMD),Mumbai,SpiceJet,A,0,2020-02-02 06:40:00,2020-02-02 06:30:00,10.0
Goa (GOI),Mumbai,SpiceJet,A,0,2020-02-02 06:40:00,2020-02-02 06:13:00,27.0
Muscat (MCT),Mumbai,Oman Air,A,0,2020-02-02 06:40:00,2020-02-02 06:11:00,29.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-02 06:40:00,2020-02-02 06:25:00,15.0
Nagpur (NAG),Mumbai,IndiGo,A,0,2020-02-02 06:45:00,2020-02-02 06:07:00,38.0
Mumbai,Goa (GOI),Vistara,D,1,2020-02-02 06:45:00,2020-02-02 06:58:00,13.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-02 06:45:00,2020-02-02 06:55:00,10.0
Chennai (MAA),Mumbai,GoAir,A,0,2020-02-02 06:50:00,2020-02-02 06:51:00,1.0
Mumbai,Doha (DOH),Air India Express (Sitar/Tabla Livery),D,1,2020-02-02 06:50:00,2020-02-02 07:23:00,33.0
Mumbai,Patna (PAT),SpiceJet,D,1,2020-02-02 06:50:00,2020-02-02 07:25:00,35.0
Mumbai,Bangkok (DMK),Thai Lion Air,D,1,2020-02-02 06:50:00,2020-02-02 07:50:00,60.0
Mumbai,Istanbul (IST),Turkish Airlines,D,1,2020-02-02 06:50:00,2020-02-02 07:09:00,19.0
Sharjah (SHJ),Mumbai,Air India Express (Red Fort/Gwalior Fort Livery),A,0,2020-02-02 06:55:00,2020-02-02 06:57:00,2.0
Jeddah (JED),Mumbai,SpiceJet,A,0,2020-02-02 06:55:00,2020-02-02 08:35:00,100.0
Mumbai,Kolkata (CCU),Vistara,D,1,2020-02-02 06:55:00,2020-02-02 07:23:00,28.0
Jeddah (JED),Mumbai,Air India,A,0,2020-02-02 07:00:00,2020-02-02 06:48:00,12.0
Riyadh (RUH),Mumbai,SpiceJet,A,0,2020-02-02 07:00:00,2020-02-02 08:05:00,65.0
Mumbai,London (LHR),Air India,D,1,2020-02-02 07:00:00,2020-02-02 09:28:00,148.0
Mumbai,Delhi (DEL),Air India,D,1,2020-02-02 07:00:00,2020-02-02 07:49:00,49.0
Mumbai,Bengaluru (BLR),Vistara,D,1,2020-02-02 07:00:00,2020-02-02 07:05:00,5.0
Hyderabad (HYD),Mumbai,Corendon Airlines,A,0,2020-02-02 07:05:00,2020-02-02 06:47:00,18.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-02 07:05:00,2020-02-02 06:57:00,8.0
Jaipur (JAI),Mumbai,IndiGo,A,0,2020-02-02 07:05:00,2020-02-02 06:36:00,29.0
Mumbai,Indore (IDR),Air India,D,1,2020-02-02 07:05:00,2020-02-02 07:34:00,29.0
Mumbai,Bhuj (BHJ),Alliance Air,D,1,2020-02-02 07:05:00,2020-02-02 07:26:00,21.0
Bengaluru (BLR),Mumbai,AirAsia,A,0,2020-02-02 07:10:00,2020-02-02 07:07:00,3.0
Bengaluru (BLR),Mumbai,SpiceJet,A,0,2020-02-02 07:10:00,2020-02-02 06:59:00,11.0
Mumbai,Guwahati (GAU),IndiGo,D,1,2020-02-02 07:10:00,2020-02-02 07:17:00,7.0
Hyderabad (HYD),Mumbai,Air India,A,0,2020-02-02 07:15:00,2020-02-02 07:08:00,7.0
Addis Ababa (ADD),Mumbai,Ethiopian Airlines,A,0,2020-02-02 07:15:00,2020-02-02 06:27:00,48.0
Chennai (MAA),Mumbai,IndiGo,A,0,2020-02-02 07:15:00,2020-02-02 07:06:00,9.0
Mumbai,Amritsar (ATQ),Air India,D,1,2020-02-02 07:15:00,2020-02-02 07:56:00,41.0
Mumbai,Kuwait City (KWI),Kuwait Airways,D,1,2020-02-02 07:15:00,2020-02-02 07:12:00,3.0
Bengaluru (BLR),Mumbai,GoAir,A,0,2020-02-02 07:20:00,2020-02-02 07:21:00,1.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-02 07:20:00,2020-02-02 07:03:00,17.0
Mumbai,Delhi (DEL),SpiceJet,D,1,2020-02-02 07:20:00,2020-02-02 07:44:00,24.0
Ahmedabad (AMD),Mumbai,Air India (Star Alliance Livery),A,0,2020-02-02 07:25:00,2020-02-02 07:41:00,16.0
Abu Dhabi (AUH),Mumbai,Etihad,A,0,2020-02-02 07:25:00,2020-02-02 07:11:00,14.0
Mumbai,Chennai (MAA),SpiceJet,D,1,2020-02-02 07:25:00,2020-02-02 07:42:00,17.0
Mumbai,Ahmedabad (AMD),IndiGo,D,1,2020-02-02 07:25:00,2020-02-02 07:48:00,23.0
Mumbai,Bhopal (BHO),IndiGo,D,1,2020-02-02 07:25:00,2020-02-02 07:38:00,13.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-02 07:30:00,2020-02-02 07:41:00,11.0
Mumbai,Ahmedabad (AMD),GoAir,D,1,2020-02-02 07:35:00,2020-02-02 07:51:00,16.0
Mumbai,Bengaluru (BLR),IndiGo,D,1,2020-02-02 07:35:00,2020-02-02 07:40:00,5.0
Chennai (MAA),Mumbai,SpiceJet,A,0,2020-02-02 07:40:00,2020-02-02 07:30:00,10.0
Cochin (COK),Mumbai,SpiceJet,A,0,2020-02-02 07:40:00,2020-02-02 07:34:00,6.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-02 07:45:00,2020-02-02 07:30:00,15.0
Mumbai,Varanasi (VNS),Corendon Airlines,D,1,2020-02-02 07:45:00,2020-02-02 08:10:00,25.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-02 07:45:00,2020-02-02 07:59:00,14.0
Mumbai,Kolkata (CCU),IndiGo,D,1,2020-02-02 07:45:00,2020-02-02 07:53:00,8.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-02 07:50:00,2020-02-02 07:37:00,13.0
Mumbai,Bengaluru (BLR),AirAsia,D,1,2020-02-02 07:50:00,2020-02-02 08:06:00,16.0
Mumbai,Siliguri (IXB),SpiceJet,D,1,2020-02-02 07:50:00,2020-02-02 09:20:00,90.0
Goa (GOI),Mumbai,GoAir,A,0,2020-02-02 07:55:00,2020-02-02 07:32:00,23.0
Delhi (DEL),Mumbai,AirAsia,A,0,2020-02-02 07:55:00,2020-02-02 07:47:00,8.0
Vadodara (BDQ),Mumbai,IndiGo,A,0,2020-02-02 07:55:00,2020-02-02 08:24:00,29.0
Surat (STV),Mumbai,Alliance Air,A,2,2020-02-02 07:55:00,,
Mumbai,Delhi (DEL),GoAir,D,1,2020-02-02 08:00:00,2020-02-02 09:54:00,114.0
Kuwait City (KWI),Mumbai,Air India,A,0,2020-02-02 08:10:00,2020-02-02 09:04:00,54.0
Mumbai,Lucknow (LKO),Air India,D,1,2020-02-02 08:10:00,2020-02-02 08:28:00,18.0
Mumbai,Thiruvananthapuram (TRV),SpiceJet,D,1,2020-02-02 08:10:00,2020-02-02 08:52:00,42.0
