Time,FlightNumber,Source,Flight Name,Aircraft,Status
1:10 PM,WY203,Muscat (MCT),Oman Air,B788 (A4O-SA),Landed 12:40 PM
1:20 PM,6E5346,Goa (GOI),IndiGo,A320 (VT-IFR),Landed 12:58 PM
1:20 PM,AI922,Riyadh (RUH),Air India,A20N (VT-CIQ),Landed 1:40 PM
1:20 PM,UK864,Bengaluru (BLR),Vistara,B738 (VT-TGA),Landed 12:55 PM
1:25 PM,SG480,Jaisalmer (JSA),SpiceJet,B738 (VT-SYR),Landed 1:03 PM
1:35 PM,AI606,Aurangabad (IXU),Air India,A319 (VT-SCM),Landed 12:31 PM
1:35 PM,SG2548,Belgaum (IXG),SpiceJet,DH8D (VT-SQJ),Landed 1:48 PM
1:35 PM,TK6564,Istanbul (IST),Turkish Airlines,33F,Unknown
1:40 PM,6E823,Bengaluru (BLR),IndiGo,A320 (VT-IHH),Landed 1:22 PM
1:40 PM,6E5394,Nagpur (NAG),IndiGo,A320 (VT-IGX),Landed 1:27 PM
1:40 PM,6E933,Kozhikode (CCJ),IndiGo,A320 (VT-IFZ),Landed 1:19 PM
1:45 PM,6.00E+295,Mangalore (IXE),IndiGo,A320 (VT-IFV),Landed 1:33 PM
1:45 PM,6E342,Hyderabad (HYD),IndiGo,A20N (VT-ITK),Landed 1:38 PM
1:45 PM,6E802,Raipur (RPR),IndiGo,A21N (VT-IUL),Landed 1:59 PM
1:55 PM,G8706,Ranchi (IXR),GoAir,A20N (VT-WJI),Landed 2:07 PM
1:55 PM,AI648,Jamnagar (JGA),Air India,A20N (VT-EXN),Landed 2:18 PM
1:55 PM,6E429,Kolkata (CCU),IndiGo,A320 (VT-IGK),Landed 1:49 PM
2:00 PM,EK506,Dubai (DXB),Emirates,B77W (A6-EGA),Landed 2:26 PM
2:00 PM,SG6362,Coimbatore (CJB),SpiceJet,B738 (VT-SGV),Landed 1:56 PM
2:00 PM,SG6374,Siliguri (IXB),SpiceJet,B738 (VT-SLG),Landed 2:22 PM
2:15 PM,AI646,Jodhpur (JDH),Air India,A20N (VT-EXP),Landed 2:21 PM
2:15 PM,SG6436,Rajkot (RAJ),SpiceJet,B737 (VT-SYO),Landed 1:54 PM
2:15 PM,UK106,Singapore (SIN),Vistara,A20N (VT-TNQ),Landed 2:02 PM
2:15 PM,UK826,Chennai (MAA),Vistara,B738 (VT-TGI),Landed 2:27 PM
