TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
6:25 PM,NH829,Tokyo (NRT),All Nippon Airways,B789 (JA839A),Landed 6:06 PM
6:25 PM,6E628,Vadodara (BDQ),IndiGo,A320 (VT-IEO),Landed 5:48 PM
6:30 PM,UK622,Varanasi (VNS),Vistara,A20N (VT-TNE),Landed 6:26 PM
6:35 PM,6E418,Goa (GOI),IndiGo,A20N (VT-ITZ),Landed 6:03 PM
6:40 PM,AI618,Hyderabad (HYD),Air India,A319 (VT-SCR),Landed 6:29 PM
6:40 PM,G82602,Nagpur (NAG),GoAir,A20N (VT-WJI),Landed 6:17 PM
6:45 PM,6E804,Raipur (RPR),IndiGo,A21N (VT-IUL),Landed 6:38 PM
6:50 PM,SG487,Goa (GOI),SpiceJet,B738 (VT-SYA),Landed 6:38 PM
6:50 PM,6E983,Bhopal (BHO),IndiGo,A20N (VT-IVC),Landed 6:48 PM
6:50 PM,6E1793,Bangkok (BKK),IndiGo,A320 (VT-IDN),Landed 6:59 PM
6:55 PM,6E5331,Bengaluru (BLR),IndiGo,A20N (VT-IJI),Landed 6:35 PM
7:05 PM,UK941,Delhi (DEL),Vistara,A320 (VT-TTJ),Landed 7:13 PM
7:10 PM,AI102,Delhi (DEL),Air India,B77W (VT-ALU),Landed 7:18 PM
7:10 PM,EY204,Abu Dhabi (AUH),Etihad,A321 (A6-AED),Landed 8:06 PM
7:10 PM,6E757,Kolkata (CCU),IndiGo,A20N (VT-IZL),Landed 6:48 PM
7:15 PM,SG6266,Guwahati (GAU),SpiceJet,B738 (VT-SYD),Landed 7:55 PM
7:15 PM,6E468,Goa (GOI),IndiGo,A320 (VT-IHY),Landed 7:04 PM
7:20 PM,6.00E+191,Delhi (DEL),IndiGo,A320 (VT-IEU),Landed 7:43 PM
7:20 PM,6E787,Ranchi (IXR),IndiGo,A320 (VT-IFP),Landed 7:00 PM
7:20 PM,6E998,Chennai (MAA),IndiGo,A320 (VT-IFJ),Landed 7:11 PM
7:30 PM,SV772,Jeddah (JED),Saudia,B77W (HZ-AK25),Landed 7:27 PM
7:30 PM,6E394,Jaipur (JAI),IndiGo,A320 (VT-IGS),Landed 7:06 PM
7:35 PM,6E5306,Indore (IDR),IndiGo,A20N (VT-IVN),Landed 7:22 PM
7:40 PM,G8372,Goa (GOI),GoAir,A20N (VT-WJN),Landed 7:11 PM
7:40 PM,SG6438,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SYI),Landed 7:45 PM
7:40 PM,SG6446,Udaipur (UDR),SpiceJet,B737 (VT-SYU),Landed 7:02 PM
7:40 PM,6E5376,Hyderabad (HYD),IndiGo,A20N (VT-IVS),Landed 7:22 PM
7:45 PM,AI773,Kolkata (CCU),Air India,A319 (VT-SCM),Landed 7:47 PM
7:45 PM,UL143,Colombo (CMB),SriLankan Airlines (Oneworld Livery),A320 (4R-ABO),Landed 7:24 PM
7:50 PM,6.00E+129,Delhi (DEL),IndiGo,A320 (VT-IAY),Landed 7:34 PM
8:05 PM,UK955,Delhi (DEL),Vistara,A320 (VT-TTC),Landed 8:04 PM
8:10 PM,AI662,Goa (GOI),Air India,A20N (VT-EXM),Landed 7:32 PM
8:10 PM,SG8168,Jaipur (JAI),SpiceJet,B738 (VT-SLJ),Landed 7:42 PM
8:15 PM,AI24,Delhi (DEL),Air India,A20N (VT-CID),Landed 8:25 PM
8:15 PM,UK776,Kolkata (CCU),Vistara,B738 (VT-TGB),Landed 8:08 PM
8:15 PM,UK854,Bengaluru (BLR),Vistara,B738 (VT-TGA),Landed 8:15 PM
8:15 PM,6E313,Ahmedabad (AMD),IndiGo,A320 (VT-IKB),Landed 8:26 PM
8:20 PM,AI656,Rajkot (RAJ),Air India,A319 (VT-SCN),Landed 8:35 PM
8:20 PM,G8640,Delhi (DEL),GoAir,A20N (VT-WJL),Landed 7:58 PM
8:20 PM,6E6449,Bengaluru (BLR),IndiGo,A320 (VT-INT),Landed 7:53 PM
8:25 PM,GF64,Bahrain (BAH),Gulf Air,A321 (A9C-CE),Landed 7:40 PM
8:25 PM,G8396,Lucknow (LKO),GoAir,A320 (VT-GON),Landed 8:00 PM
8:35 PM,EK508,Dubai (DXB),Emirates,B77W (A6-EQD),Landed 7:53 PM
8:35 PM,SG6355,Andal (RDP),SpiceJet,B737 (VT-SYO),Landed 8:32 PM
8:35 PM,6E5395,Cochin (COK),IndiGo,A320 (VT-IHX),Landed 8:18 PM
8:40 PM,AI985,Ahmedabad (AMD),Air India,A321 (VT-PPK),Landed 8:46 PM
8:40 PM,SG468,Hyderabad (HYD),SpiceJet,B738 (VT-SYJ),Landed 8:28 PM
8:45 PM,G9401,Sharjah (SHJ),Air Arabia,A320 (A6-AOB),Landed 8:20 PM
8:45 PM,6.00E+231,Hyderabad (HYD),IndiGo,A320 (VT-IHS),Landed 8:50 PM
8:45 PM,6E433,Guwahati (GAU),IndiGo,A320 (VT-IEQ),Landed 8:14 PM
8:50 PM,SG6366,Kolkata (CCU),SpiceJet,B738 (VT-SYX),Landed 8:54 PM
8:50 PM,SG8709,Delhi (DEL),SpiceJet,B738 (VT-SXE),Landed 9:06 PM
8:50 PM,6E459,Mangalore (IXE),IndiGo,A20N (VT-IZD),Landed 8:42 PM
8:55 PM,SG6283,Cochin (COK),SpiceJet,B738 (VT-SZM),Landed 9:10 PM
9:05 PM,9I652,Bhavnagar (BHU),Alliance Air,AT76 (VT-RKG),Landed 8:38 PM
9:10 PM,6E843,Delhi (DEL),IndiGo,A320 (VT-INZ),Landed 1:23 AM
9:15 PM,AI624,Delhi (DEL),Air India,A20N (VT-CIO),Landed 9:27 PM
9:15 PM,UK977,Delhi (DEL),Vistara,A320 (VT-TTD),Landed 10:01 PM
9:25 PM,G8537,Ahmedabad (AMD),GoAir,A20N (VT-WGX),Landed 9:24 PM
9:25 PM,6E587,Indore (IDR),IndiGo,A20N (VT-IJV),Landed 8:57 PM
9:30 PM,6E5348,Bengaluru (BLR),IndiGo,A20N (VT-IJC),Landed 9:08 PM
9:35 PM,AI610,Bengaluru (BLR),Air india (Star Alliance Livery),A20N (VT-EXO),Landed 9:22 PM
9:35 PM,UK652,Chandigarh (IXC),Vistara,A20N (VT-TNP),Landed 9:13 PM
9:40 PM,UA48,New York (EWR),United Airlines,B77W (N2250U),Landed 9:29 PM
9:45 PM,G8484,Ranchi (IXR),GoAir,A20N (VT-WGK),Landed 9:19 PM
9:45 PM,6.00E+197,Delhi (DEL),IndiGo,A320 (VT-IEZ),Landed 9:48 PM
9:50 PM,UK850,Bengaluru (BLR),Vistara,B738 (VT-TGG),Landed 9:32 PM
9:50 PM,6E6017,Hyderabad (HYD),IndiGo,A320 (VT-IEB),Landed 10:19 PM
9:55 PM,UK985,Delhi (DEL),Vistara,A20N (VT-TNU),Landed 10:18 PM
10:00 PM,G86,Abu Dhabi (AUH),GoAir,A20N (VT-WJK),Landed 9:52 PM
10:00 PM,TG317,Bangkok (BKK),Thai Airways (Star Alliance Livery),B744 (HS-TGW),Landed 9:40 PM
10:05 PM,AI441,Aurangabad (IXU),Air India,A319 (VT-SCL),Landed 10:38 PM
10:05 PM,G8446,Delhi (DEL),GoAir,A20N (VT-WGD),Landed 9:57 PM
10:05 PM,SG703,Varanasi (VNS),Corendon Airlines,B738 (TC-TJR),Landed 9:55 PM
10:05 PM,SG8169,Delhi (DEL),SpiceJet,B738 (VT-SYZ),Landed 10:07 PM
10:10 PM,AI55,Cochin (COK),Air India,A321 (VT-PPM),Landed 11:02 PM
10:10 PM,AI805,Delhi (DEL),Air India,A20N (VT-CIN),Landed 10:58 PM
10:10 PM,G8345,Cochin (COK),GoAir,A20N (VT-WGJ),Landed 10:25 PM
10:10 PM,SQ424,Singapore (SIN),Singapore Airlines,A388 (9V-SKS),Landed 9:43 PM
10:15 PM,SG6933,Dehradun (DED),SpiceJet,B738 (VT-SYB),Landed 10:41 PM
10:15 PM,6.00E+84,Dubai (DXB),IndiGo,A320 (VT-INU),Landed 10:04 PM
10:20 PM,OD215,Kuala Lumpur (KUL),Malindo Air,B739 (9M-LNG),Landed 9:38 PM
10:20 PM,6E404,Nagpur (NAG),IndiGo,A320 (VT-IFB),Landed 10:09 PM
